<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,begin Consume call,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,scCallBack receive <:request:>,dealMailCallback complete <:callback:>,<:dealMailCallback:>,PushMailSendResult: <:result:>,scCallBack DealCallBack <:event:>,begin <:*:>,send by <:*:> OrderID=<:SEQ:>,use preferred orderID=<:SEQ:> <:channel:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,receive <:*:>,deal<:SmsCallback:>,dealSmsCallback complete <:callback:>,PushSmsOrderResult: <:result:>,not find dictionary type=<:NUM:>,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,WeChatMsg Send WechatMsg <:*:> <:*:> <:overLimit:>,getAppSmsLimit <:*:> not exist,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,SendWeChatMsg <:*:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,<:NUM:> <:*:>,load <:*:> config ok,dealSmsCallback dealSmsCallbackRetry <:order:>,resetApproveCallbackTask taskID=<:SEQ:>,juhe sendSms <:rs:>,ykmsymsg <:*:> start kms,<:ChineseInfo:>,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,version,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,waiting task controller finished,task controller finished,dao close finished,sendWeChatMsg SendMsg failed,msg,timestamp,unknown
1117,1059,1109,943,290,242,85,52,52,52,43,48,161,48,48,42,42,102,96,96,79,45,92,1,39,38,42,31,16,5,9,6,15,2,8,2,8,1,1,1,1,2,1,1,42,2023-08-10 16:30:10,37
1038,962,1273,857,198,164,49,42,42,42,26,34,116,34,34,25,25,93,95,94,81,56,69,15,53,53,31,43,20,5,0,0,13,2,3,0,6,1,0,0,0,0,0,2,53,2023-08-10 16:32:10,32
1098,1052,1027,896,200,167,49,37,37,37,25,33,103,33,33,22,22,79,76,77,73,30,66,2,51,44,26,27,19,5,9,6,4,2,5,2,2,0,1,1,1,2,1,0,54,2023-08-10 16:34:10,36
1043,992,1263,856,196,164,49,41,41,41,26,32,104,32,32,23,23,84,82,82,76,45,68,3,49,48,20,22,21,5,4,6,4,2,3,2,3,1,1,1,1,2,1,0,52,2023-08-10 16:36:10,26
1003,980,955,862,101,84,36,20,20,20,19,17,63,17,17,17,17,57,57,57,55,56,44,2,43,40,15,15,12,5,9,6,2,2,3,2,0,1,1,1,1,2,1,1,46,2023-08-10 16:38:10,11
1075,1054,982,857,197,164,78,45,45,45,45,33,83,33,33,33,33,44,43,43,39,30,46,2,47,44,25,15,16,5,0,0,4,2,3,0,1,1,0,0,0,0,0,2,47,2023-08-10 16:40:10,8
1169,1140,1287,842,484,402,224,143,143,143,142,82,128,82,82,82,82,53,50,50,50,71,46,5,41,32,10,12,14,5,8,6,0,2,5,2,4,1,1,1,1,2,1,2,44,2023-08-10 16:42:10,63
1086,1051,997,886,154,130,60,37,37,37,36,24,83,24,24,24,24,70,65,65,60,30,56,2,36,36,22,18,11,5,9,6,3,2,6,2,7,0,1,1,1,2,1,0,39,2023-08-10 16:44:10,9
996,983,1252,880,133,110,50,28,28,28,27,23,67,23,23,23,23,41,40,40,39,45,43,4,38,37,19,5,9,5,7,6,1,2,2,2,2,1,1,1,1,2,1,0,41,2023-08-10 16:46:10,8
1018,995,980,903,109,91,43,25,25,25,25,18,65,18,18,18,18,46,44,44,42,41,45,4,37,37,13,12,26,5,0,0,2,2,4,0,2,1,0,0,0,0,0,4,37,2023-08-10 16:48:10,7
1083,1058,1191,1079,184,154,71,42,42,42,41,30,81,30,30,30,30,57,56,55,51,45,48,2,58,55,17,14,28,5,4,6,3,2,4,2,2,1,1,1,1,2,1,1,62,2023-08-10 16:50:10,12
1008,982,667,280,134,111,60,38,38,38,37,23,71,23,23,23,23,43,41,42,41,71,47,3,62,62,12,18,25,5,9,6,1,2,3,2,4,1,1,1,1,2,1,2,66,2023-08-10 16:52:10,8
1079,1047,108,0,152,127,55,31,31,30,29,25,78,25,25,25,25,61,59,59,55,30,50,3,52,52,22,19,17,5,8,6,3,2,3,2,2,0,1,1,1,2,1,0,55,2023-08-10 16:54:10,6
1066,1026,415,0,198,164,73,40,40,41,40,34,110,34,34,34,34,75,76,76,66,30,66,11,67,67,38,22,29,5,0,0,10,1,4,0,4,1,0,0,0,0,0,0,67,2023-08-10 16:56:10,22
1155,1021,183,0,140,118,58,37,37,37,36,22,191,22,22,22,22,161,158,158,110,56,121,47,58,48,142,78,23,5,9,6,48,2,4,2,24,1,1,1,1,2,1,1,61,2023-08-10 16:58:10,35
1095,1053,87,0,120,100,43,23,23,23,23,20,89,20,20,20,20,73,72,72,66,45,62,9,51,50,28,22,36,5,8,6,6,2,6,2,4,1,1,1,1,2,1,3,55,2023-08-10 17:00:10,36
1078,1012,387,0,132,109,47,24,24,24,24,23,103,23,23,23,23,103,106,106,67,71,64,40,86,82,37,20,53,5,9,6,15,2,3,2,1,1,1,1,1,2,1,0,91,2023-08-10 17:02:10,71
1039,1017,82,0,78,65,29,17,17,17,17,13,73,13,13,13,13,59,58,57,53,15,56,4,55,54,29,11,39,5,0,0,4,2,4,0,1,0,0,0,0,0,0,2,55,2023-08-10 17:04:10,16
1060,1029,1038,671,132,110,52,33,33,33,29,22,78,22,22,22,22,57,59,60,54,45,49,7,55,51,21,12,34,5,8,6,6,2,3,2,3,1,1,1,1,2,1,0,59,2023-08-10 17:06:10,31
1070,1025,950,843,138,116,52,30,30,30,30,22,100,22,22,22,22,75,71,71,61,56,66,6,52,50,39,28,30,5,8,6,10,2,9,2,4,1,1,1,1,2,1,0,58,2023-08-10 17:08:10,23
1085,1043,1069,956,168,138,58,34,34,34,30,30,89,30,29,29,29,66,64,64,55,45,52,6,50,48,28,19,21,5,9,6,6,2,5,2,5,1,1,1,1,2,1,0,53,2023-08-10 17:10:10,16
1040,1015,1245,858,242,203,97,56,56,56,56,39,100,39,40,40,40,67,66,66,60,56,55,3,34,34,22,14,16,5,0,0,4,2,4,0,2,1,0,0,0,0,0,2,36,2023-08-10 17:12:10,15
1050,1026,940,852,95,79,36,20,20,20,20,16,75,16,16,16,16,62,62,62,57,30,56,8,43,43,26,10,27,5,8,6,2,2,4,2,3,0,1,1,1,2,1,1,47,2023-08-10 17:14:10,13
1040,986,1225,825,113,93,43,26,26,26,24,20,110,20,20,20,20,85,84,84,76,45,82,1,37,37,56,45,17,5,4,6,8,2,4,2,1,1,1,1,1,2,1,0,40,2023-08-10 17:16:10,2
1069,1030,953,830,158,133,59,34,34,34,33,25,90,25,25,25,25,68,67,67,61,56,59,7,67,66,30,28,32,5,9,6,6,2,2,2,1,1,1,1,1,2,1,5,70,2023-08-10 17:18:10,8
1052,1027,1028,892,169,140,64,37,37,37,36,29,103,29,28,28,28,56,55,55,54,45,71,4,42,42,29,17,6,5,9,6,3,2,4,2,4,1,1,1,1,2,1,0,45,2023-08-10 17:20:10,11
1024,975,1272,858,195,162,75,43,43,43,42,33,106,33,33,34,34,96,95,95,83,56,65,5,47,44,27,30,10,5,0,0,7,2,7,0,3,1,0,0,0,0,0,1,47,2023-08-10 17:22:10,18
1094,1038,1025,904,143,120,39,28,28,28,20,23,100,23,23,18,18,83,80,80,70,30,68,10,51,50,47,26,20,5,9,6,9,2,5,2,3,0,1,1,1,2,1,1,54,2023-08-10 17:24:10,19
1022,996,1286,896,137,115,51,43,43,43,33,22,79,22,23,18,18,56,56,56,55,45,56,3,49,49,19,7,18,5,9,6,1,2,6,2,1,1,1,1,1,2,1,0,52,2023-08-10 17:26:10,28
1028,991,1006,898,198,165,38,41,41,41,23,33,77,33,33,15,15,49,46,46,45,41,43,3,43,43,26,10,13,5,0,0,1,2,4,0,2,1,0,0,0,0,0,1,43,2023-08-10 17:28:10,37
1053,1025,1193,1044,138,115,52,29,29,29,29,23,121,23,23,23,23,76,76,76,72,45,94,1,59,59,36,22,30,5,8,6,4,2,3,2,1,1,1,1,1,2,1,3,62,2023-08-10 17:30:10,7
972,942,667,278,90,73,26,15,15,15,15,17,85,17,17,17,17,83,80,80,76,71,63,9,47,47,23,14,18,5,9,6,4,2,3,2,4,1,1,1,1,2,1,4,50,2023-08-10 17:32:10,8
1103,1045,129,0,146,122,61,34,34,34,33,24,110,24,24,24,24,87,86,86,72,30,72,6,43,43,58,48,10,5,6,6,14,2,1,2,1,0,1,1,1,2,1,1,46,2023-08-10 17:34:10,4
1081,1046,419,0,203,170,80,45,45,45,45,33,111,33,33,33,33,79,75,75,69,45,73,11,66,54,46,15,40,5,7,6,5,2,4,2,4,1,1,1,1,2,1,2,69,2023-08-10 17:36:10,29
1023,995,105,0,137,115,41,31,31,31,23,22,76,22,22,18,18,54,52,52,50,41,52,0,40,40,22,16,12,5,0,0,2,2,3,0,1,1,0,0,0,0,0,1,40,2023-08-10 17:38:10,17
1063,1004,126,0,246,205,47,57,57,57,29,41,97,41,41,18,18,61,61,61,56,45,52,3,42,41,12,19,9,5,8,6,3,2,4,2,2,1,1,1,1,2,1,0,45,2023-08-10 17:40:10,58
991,962,369,0,110,92,42,23,23,23,23,18,71,18,18,18,18,58,58,58,54,71,49,5,45,45,20,20,31,5,7,6,4,2,4,2,2,1,1,1,1,2,1,4,48,2023-08-10 17:42:10,12
1154,1100,164,0,262,218,99,58,58,58,56,44,139,44,44,44,44,94,92,92,80,15,83,6,55,54,56,42,18,5,0,0,12,2,4,0,3,0,0,0,0,0,0,1,55,2023-08-10 17:44:10,6
995,972,1069,710,92,77,34,25,25,25,19,15,58,15,15,15,15,49,47,47,47,45,43,1,33,33,24,11,11,5,9,6,0,2,1,2,2,1,1,1,1,2,1,1,36,2023-08-10 17:46:10,6
1009,979,938,863,72,60,25,24,24,24,13,12,67,12,12,12,12,53,52,52,50,56,53,0,21,21,23,19,11,5,9,6,2,2,0,2,0,1,1,1,1,2,1,0,24,2023-08-10 17:48:10,11
1001,983,989,917,52,43,19,10,10,10,10,9,58,9,9,9,9,44,43,43,44,45,49,1,26,26,19,15,15,5,9,6,0,2,4,2,0,1,1,1,1,2,1,2,29,2023-08-10 17:50:10,7
1029,990,1262,850,207,172,78,52,52,52,46,35,110,35,35,32,32,76,72,72,66,71,68,2,44,43,25,17,13,5,9,6,6,2,6,2,6,1,1,1,1,2,1,0,47,2023-08-10 17:52:10,12
1054,1029,1005,875,117,98,47,28,28,28,28,19,94,19,19,19,19,77,77,77,75,15,73,6,44,44,31,14,9,5,0,0,2,2,4,0,0,0,0,0,0,0,0,2,44,2023-08-10 17:54:10,2
1021,994,1235,836,156,130,54,28,28,28,28,26,95,26,26,26,26,73,73,73,68,45,65,3,40,40,37,21,10,5,8,6,4,2,2,2,0,1,1,1,1,2,1,3,43,2023-08-10 17:56:10,9
1012,996,951,868,123,102,48,26,26,27,27,21,63,21,21,21,21,50,49,49,49,56,42,1,43,43,15,9,23,5,4,6,0,2,6,2,1,1,1,1,1,2,1,0,46,2023-08-10 17:58:10,3
1093,1060,979,843,203,170,72,40,40,39,39,33,102,33,33,33,33,61,60,60,54,45,64,10,62,52,40,17,25,5,7,6,5,2,1,2,1,1,1,1,1,2,1,2,65,2023-08-10 18:00:10,34
1008,957,1206,847,98,81,33,23,23,23,19,17,59,17,17,14,14,63,63,63,39,56,38,21,51,51,18,20,24,5,0,0,4,2,2,0,1,1,0,0,0,0,0,0,51,2023-08-10 18:02:10,14
1028,1011,955,892,68,57,23,12,12,12,12,11,47,11,11,11,11,35,35,35,34,30,35,2,31,31,11,10,14,5,7,6,1,2,5,2,0,0,1,1,1,2,1,0,34,2023-08-10 18:04:10,1
1004,978,1254,896,86,72,31,21,21,21,17,14,57,14,14,14,14,44,41,41,39,45,41,3,42,42,14,14,18,5,9,6,2,2,2,2,2,1,1,1,1,2,1,2,45,2023-08-10 18:06:10,5
1003,974,994,911,66,55,22,11,11,11,11,11,69,11,11,11,11,59,60,60,52,56,52,7,29,29,40,17,9,5,2,6,6,4,2,2,1,1,1,1,1,2,1,0,32,2023-08-10 18:08:10,1
1011,990,1138,1048,84,69,28,14,14,14,14,15,61,15,14,14,14,47,47,47,45,30,46,3,41,41,21,11,15,5,0,0,0,4,3,0,1,1,0,0,0,0,0,0,41,2023-08-10 18:10:10,3
979,967,624,248,150,126,54,29,29,29,29,24,73,24,25,25,25,42,40,40,39,71,48,2,41,41,18,6,14,5,9,6,1,2,3,2,2,1,1,1,1,2,1,2,44,2023-08-10 18:12:10,8
1087,1055,98,0,139,115,47,32,32,32,26,24,72,24,24,21,21,56,52,52,50,30,45,0,57,57,19,15,31,5,8,6,2,2,3,2,5,0,1,1,1,2,1,0,60,2023-08-10 18:14:10,12
1024,1009,371,0,167,138,66,38,38,38,38,29,64,29,29,28,28,40,39,39,38,45,34,3,45,45,17,12,17,5,8,6,1,2,0,2,0,1,1,1,1,2,1,4,48,2023-08-10 18:16:10,2
1024,1012,85,0,130,110,62,43,43,43,42,20,54,20,20,20,20,42,43,43,42,41,33,2,51,49,8,7,25,5,0,0,1,2,2,0,0,1,0,0,0,0,0,2,51,2023-08-10 18:18:10,12
1060,1036,129,0,139,116,60,37,37,37,37,23,88,23,23,23,23,53,53,53,45,45,57,2,44,44,38,22,14,5,8,6,8,2,1,2,0,1,1,1,1,2,1,0,47,2023-08-10 18:20:10,0
993,959,348,0,103,86,43,26,26,26,26,17,59,17,17,17,17,55,54,54,47,71,34,6,46,46,19,22,12,5,9,6,8,2,1,2,2,1,1,1,1,2,1,1,51,2023-08-10 18:22:10,8
1074,1053,96,0,186,155,62,31,31,31,31,31,78,31,31,31,31,56,52,52,51,30,45,3,40,36,10,10,19,5,8,6,1,2,5,2,5,0,1,1,1,2,1,1,43,2023-08-10 18:24:10,10
997,984,1061,694,113,94,44,25,25,25,25,19,67,19,19,19,19,40,39,39,37,30,46,2,35,35,24,7,10,5,0,0,2,2,1,0,2,1,0,0,0,0,0,2,35,2023-08-10 18:26:10,4
1042,1008,923,793,154,127,56,32,32,32,30,27,101,27,26,26,26,66,64,64,62,56,72,12,40,40,47,16,11,5,9,6,2,2,3,2,3,1,1,1,1,2,1,1,43,2023-08-10 18:28:10,7
1023,1014,1048,948,135,114,47,25,25,25,25,21,64,21,22,22,22,36,35,35,34,45,42,4,54,46,19,4,21,5,9,6,1,2,1,2,1,1,1,1,1,2,1,2,57,2023-08-10 18:30:10,14
1000,967,1226,855,149,124,51,26,26,26,26,25,75,25,25,25,25,72,72,72,69,71,47,3,38,38,21,23,14,5,9,6,3,2,2,2,2,1,1,1,1,2,1,2,41,2023-08-10 18:32:10,14
1135,1055,1437,912,117,97,41,21,21,21,21,20,510,20,20,20,20,475,478,478,473,30,485,64,60,59,20,13,37,5,9,6,5,2,1,2,4,0,1,1,1,2,1,2,63,2023-08-10 18:34:10,28
1000,982,1211,854,124,103,36,24,24,24,18,21,60,21,21,18,18,41,41,41,39,30,37,3,35,35,16,9,16,5,0,0,2,2,2,0,0,1,0,0,0,0,0,1,35,2023-08-10 18:36:10,10
995,972,946,878,70,57,29,16,16,16,16,13,53,13,13,13,13,49,47,47,45,56,38,3,19,19,13,15,4,5,8,6,2,2,0,2,2,1,1,1,1,2,1,0,23,2023-08-10 18:38:10,3
1025,1008,993,889,150,126,51,27,27,27,27,24,88,24,24,24,24,34,34,34,31,45,61,5,27,27,43,10,8,5,8,6,3,2,1,2,0,1,1,1,1,2,1,0,30,2023-08-10 18:40:10,1
966,929,1256,921,60,50,24,14,14,14,14,10,39,10,10,10,10,55,54,54,50,71,25,4,22,22,18,32,3,5,7,6,4,2,0,2,1,1,1,1,1,2,1,0,25,2023-08-10 18:42:10,3
1020,1014,944,889,76,64,32,22,22,22,20,12,38,12,12,12,12,20,20,20,20,15,26,1,27,27,9,3,9,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,27,2023-08-10 18:44:10,6
965,953,1234,903,40,34,18,12,12,12,12,6,37,6,6,6,6,34,34,34,32,45,29,1,23,23,15,6,5,5,8,6,1,2,2,2,1,1,1,1,1,2,1,0,26,2023-08-10 18:46:10,3
1027,969,1381,916,48,40,24,16,16,16,16,8,453,8,8,8,8,408,407,407,403,56,441,34,19,19,18,22,6,5,7,6,4,1,1,2,2,1,1,1,1,2,1,2,22,2023-08-10 18:48:10,10
1034,1009,1310,1040,128,105,56,32,33,33,33,23,72,23,23,23,23,53,53,53,47,45,43,15,37,28,26,10,5,5,7,6,6,2,2,2,0,1,1,1,1,2,1,1,40,2023-08-10 18:50:10,9
986,952,296,115,128,107,47,27,26,26,26,21,58,21,21,21,21,59,58,58,53,56,32,5,23,21,15,24,4,5,0,0,5,2,0,0,3,1,0,0,0,0,0,0,23,2023-08-10 18:52:10,6
1062,1050,91,0,194,163,71,40,40,40,40,31,61,31,31,31,31,28,27,27,26,30,30,0,34,34,8,9,4,5,8,6,0,2,2,2,0,0,1,1,1,2,1,0,37,2023-08-10 18:54:10,4
996,983,344,0,114,95,47,28,28,28,28,19,43,19,19,19,19,29,28,28,26,45,21,0,30,22,11,9,8,5,9,6,2,2,1,2,2,1,1,1,1,2,1,0,33,2023-08-10 18:56:10,10
994,983,56,0,56,46,25,15,15,15,15,10,37,10,10,10,10,33,31,31,31,56,27,4,35,35,11,6,17,5,9,6,0,2,1,2,0,1,1,1,1,2,1,0,38,2023-08-10 18:58:10,0
1010,995,91,0,100,84,34,18,18,18,18,16,44,16,16,16,16,26,26,26,24,30,26,3,61,27,10,7,12,5,0,0,2,2,2,0,2,1,0,0,0,0,0,1,61,2023-08-10 19:00:10,36
1064,923,342,0,36,30,15,9,9,9,9,6,41,6,6,6,6,161,162,162,40,71,35,122,35,35,9,14,13,5,7,6,0,2,4,2,1,1,1,1,1,2,1,0,38,2023-08-10 19:02:10,1
1038,1025,54,0,72,60,33,21,21,21,21,12,38,12,12,12,12,28,25,25,25,30,26,5,35,35,8,5,20,5,3,6,0,2,2,2,1,0,1,1,1,2,1,0,38,2023-08-10 19:04:10,1
987,972,1053,712,66,55,26,19,19,19,15,11,44,11,11,11,11,31,32,32,30,45,31,3,34,33,15,8,13,5,8,6,2,2,1,2,0,1,1,1,1,2,1,2,37,2023-08-10 19:06:10,8
1017,1001,945,868,90,75,39,24,24,24,24,15,54,15,15,15,15,40,35,35,34,41,39,1,37,35,14,8,16,5,0,0,0,2,3,0,3,1,0,0,0,0,0,2,37,2023-08-10 19:08:10,7
1093,1078,1033,939,298,247,105,54,54,54,54,51,76,51,51,51,51,33,32,32,29,45,22,1,40,40,9,10,20,5,5,6,3,2,1,2,3,1,1,1,1,2,1,0,43,2023-08-10 19:10:10,0
933,921,1187,870,8,8,2,2,2,2,2,0,26,0,0,0,0,26,25,25,23,71,24,2,32,32,13,8,16,5,9,6,2,2,0,2,1,1,1,1,1,2,1,0,35,2023-08-10 19:12:10,2
1020,1003,922,878,18,15,6,3,3,3,3,3,33,3,3,3,3,33,33,33,32,15,29,4,32,32,14,11,26,5,0,0,1,2,3,0,1,0,0,0,0,0,0,3,32,2023-08-10 19:14:10,4
978,967,1216,880,54,45,23,14,14,14,14,9,44,9,9,9,9,33,31,31,30,45,33,2,31,31,15,3,16,5,8,6,1,2,4,2,2,1,1,1,1,2,1,0,34,2023-08-10 19:16:10,7
1187,1170,1042,886,636,530,210,109,109,109,106,106,138,106,106,104,104,34,32,32,30,56,31,2,38,38,17,5,20,5,3,6,1,2,3,2,2,1,1,1,1,2,1,1,41,2023-08-10 19:18:10,10
999,985,911,852,72,60,26,14,14,14,14,12,36,12,12,12,12,25,25,25,25,45,24,0,33,33,10,12,11,5,9,6,0,2,1,2,0,1,1,1,1,2,1,4,36,2023-08-10 19:20:10,3
945,934,1257,926,53,44,20,12,12,12,11,9,28,9,9,9,9,18,18,18,18,56,18,2,38,38,8,7,12,5,0,0,1,2,2,0,0,1,0,0,0,0,0,0,38,2023-08-10 19:22:10,2
1030,1015,979,918,61,51,21,11,11,11,11,10,39,10,10,10,10,26,26,26,26,30,29,0,42,42,5,13,21,5,8,6,0,2,0,2,0,0,1,1,1,2,1,2,47,2023-08-10 19:24:10,6
955,943,1186,862,24,20,10,6,6,6,6,4,33,4,4,4,4,29,29,29,28,45,28,1,19,19,11,11,4,5,9,6,1,2,1,2,0,1,1,1,1,2,1,0,22,2023-08-10 19:26:10,3
984,972,1025,976,36,30,12,6,6,6,6,6,37,6,6,6,6,32,32,32,31,41,30,3,32,32,15,9,21,5,0,0,1,2,1,0,0,1,0,0,0,0,0,2,32,2023-08-10 19:28:10,5
994,984,1102,1039,66,55,22,11,11,11,11,11,42,11,11,11,11,25,24,24,24,45,31,0,29,29,10,8,11,5,7,6,0,2,3,2,0,1,1,1,1,2,1,1,32,2023-08-10 19:30:10,0
939,932,344,0,52,42,19,9,9,9,9,10,45,10,10,10,10,34,33,33,33,71,35,1,37,37,17,4,17,5,9,6,0,2,1,2,1,1,1,1,1,2,1,0,40,2023-08-10 19:32:10,0
1009,992,53,0,20,18,8,6,6,6,6,2,32,2,2,2,2,34,34,34,33,30,29,3,30,30,13,12,17,5,9,6,1,2,0,2,1,0,1,1,1,2,1,2,33,2023-08-10 19:34:10,6
967,960,328,0,34,25,10,4,4,4,4,9,42,9,9,9,9,23,22,22,22,30,33,1,27,27,12,6,17,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,27,2023-08-10 19:36:10,0
987,969,57,0,85,74,29,16,16,15,15,11,45,11,11,11,11,46,46,46,43,56,31,2,23,21,15,10,11,5,4,6,3,2,4,2,2,1,1,1,1,2,1,0,26,2023-08-10 19:38:10,6
995,985,142,0,31,26,12,6,6,7,7,5,32,5,5,5,5,32,31,31,29,45,25,0,22,22,16,8,11,5,8,6,2,2,1,2,0,1,1,1,1,2,1,0,25,2023-08-10 19:40:10,2
921,919,220,0,16,13,6,3,3,3,3,3,25,3,3,3,3,17,17,17,17,71,22,0,25,25,11,2,11,5,7,6,0,2,1,2,0,1,1,1,1,2,1,0,28,2023-08-10 19:42:10,2
988,979,35,0,5,4,1,0,0,0,0,1,21,1,1,1,1,19,18,18,18,15,20,1,18,18,8,6,4,5,0,0,0,2,1,0,1,0,0,0,0,0,0,1,18,2023-08-10 19:44:10,1
981,965,1029,694,57,48,20,11,11,11,11,9,43,9,9,9,9,35,33,33,30,45,31,2,35,35,17,13,18,5,8,6,3,2,1,2,0,1,1,1,1,2,1,2,38,2023-08-10 19:46:10,2
