timestamp,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj3-rd-ylint-prod-01"", mode=~""idle""}[1m])) by (mode, hostname)","node_load1{hostname=~""bj3-rd-ylint-prod-01""}","node_load5{hostname=~""bj3-rd-ylint-prod-01""}","node_load15{hostname=~""bj3-rd-ylint-prod-01""}","(1-(node_memory_MemAvailable_bytes{hostname=~""bj3-rd-ylint-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj3-rd-ylint-prod-01""}))*100","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/""})","1-(node_filesystem_free_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-ylint-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})","irate(node_disk_reads_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_writes_completed_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_write_time_seconds_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_read_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_disk_written_bytes_total{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_tw{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-ylint-prod-01""}[1m])","node_sockstat_TCP_alloc{hostname=~""bj3-rd-ylint-prod-01""}","node_sockstat_TCP_inuse{hostname=~""bj3-rd-ylint-prod-01""}","probe_duration_seconds{hostname=~""bj3-rd-ylint-prod-01""}","irate(node_network_receive_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8","irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-ylint-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
1694610012,0.024416666477918625,0.22,0.42,0.42,27.228969266604054,0.6233020327008149,0.4553579809236512,0.06666666666666667,4.066666666666666,0,0.0019333333320294818,273.06666666666666,43690.666666666664,270,93,1.5333333333333334,3.2666666666666666,318,252,0.000313005,14071611.2,560234.1333333333
1694610132,0.021844175040634517,0.11,0.33,0.39,26.592765908012627,0.6233045598717908,0.45545037739284455,0,1.999466808850973,0,0.0009997334053565609,0,36854.17222074114,271,153,1.799520127965876,3.1324980005331913,319,253,0.000347537,14223187.416688884,513476.9394828046
1694610252,0.022166666388511613,0.81,0.46,0.42,26.600966166125517,0.6233738626758619,0.4555485894580874,0,3.3333333333333335,0,0.0013999999966472388,0,41779.2,273,108,1.6666666666666667,3.3333333333333335,321,255,0.000337836,13925639.466666667,539824.5333333333
1694610372,0.05416666679084314,0.43,0.45,0.42,26.692962811829457,0.62337697304014,0.4556795808659425,0,2.2,0,0.001066666670764486,0,39594.666666666664,274,159,5.866666666666666,3.2666666666666666,322,256,0.00034008,16966514.666666668,602187.7333333333
1694610492,0.02325000005463751,0.28,0.37,0.4,26.526248635730866,0.6233789170178139,0.4557768511185629,2.066666666666667,4.066666666666666,0.0020666666658750426,0.0032666666666045785,8465.066666666668,49698.13333333333,270,178,1.8666666666666667,3.2,318,252,0.000355842,12447299.733333332,515143.4666666667
1694610612,0.023166666676600833,0.12,0.28,0.36,26.550300285642326,0.6234069102963167,0.4558724664164928,0,2.2666666666666666,0,0.0008000000069538752,0,35771.73333333333,269,183,1.5333333333333334,3.2,317,251,0.000330353,12802325.866666667,521208
1694610732,0.023333333432674408,0.42,0.4,0.4,26.019040706471763,0.6234091458706414,0.45573386299221563,0,4.066666666666666,0,0.002200000003601114,0,42871.46666666667,274,170,1.6,3.1333333333333333,322,255,0.000321099,12823908.8,512290.6666666667
1694610852,0.027666666482885738,0.32,0.36,0.39,27.05531171719262,0.62347864307248,0.4551209290120324,0,1.4,0,0.0004666666655490796,0,14745.6,277,176,1.6666666666666667,3.4,326,257,0.000314203,12033162.666666666,526326.4
1694610972,0.024500000104308195,0.28,0.33,0.38,32.557953371770424,0.623481170243456,0.45522046465345056,0,3.466666666666667,0,0.0030666666648661097,0,25395.2,275,121,1.6666666666666667,3.2666666666666666,324,257,0.000374927,13597102.933333334,505942.4
1694611092,0.0389166666815679,0.58,0.42,0.4,40.495998469285155,0.623483405817781,0.4552648228652385,0.06666666666666667,3.4,0.0000666666659526527,0.003000000002793968,273.06666666666666,27579.733333333334,275,117,1.6,3.2,324,255,0.000394081,13218257.066666666,955942.4
