数据集名称,异常情况,指标名称
6418faf2f05fc1652a9a80ed1dc23a1a,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj3-rd-yos-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
c2bd34b4ed1126c0e52de18b4b4a2d6c,出现异常,"node_sockstat_TCP_inuse{hostname=~""bj3-rd-yos-prod-02""}"
713c7aad4fcb7d5b056a0be71bab8f88,正常,"irate(node_disk_written_bytes_total{hostname=~""bj3-rd-yos-prod-02""}[2m])"
ffc8e6786dd99da5b5ef08f7047d1908,正常,"node_sockstat_TCP_inuse{hostname=~""bj1-rd-yos-prod-01""}"
5280ceb9f6db7db00f7cd3ac167e2480,正常,"(1- (sum(increase(std_requests_total{job=""be/yid"",code=""200"",bizcode=""6000"",method=~""GET|POST"",url=~""/sso/oauth2/auth|/sso/oauth2/token|/sso/oauth2/revoke|sso/userinfo|/api/v2/user/publickey|/api/v2/user/login|/api/v2/user/verify/totp|/api/v2/user/password/change|/api/v2/email/password|/api/v2/password/auth|/api/v2/password/reset""}[2m]) or increase(std_requests_total{job=""be/yid"",code=~""5.."",method=~""GET|POST"",url=~""/sso/oauth2/auth|/sso/oauth2/token|/sso/oauth2/revoke|sso/userinfo|/api/v2/user/publickey|/api/v2/user/login|/api/v2/user/verify/totp|/api/v2/user/password/change|/api/v2/email/password|/api/v2/password/auth|/api/v2/password/reset""}[2m])) or vector(0)) / sum(increase(std_requests_total{job=""be/yid"",method=~""GET|POST"",url=~""/sso/oauth2/auth|/sso/oauth2/token|/sso/oauth2/revoke|sso/userinfo|/api/v2/user/publickey|/api/v2/user/login|/api/v2/user/verify/totp|/api/v2/user/password/change|/api/v2/email/password|/api/v2/password/auth|/api/v2/password/reset""}[2m])))*100"
99347dd2b81f4ba08f966ffa59d12ed8,正常,"(1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",grpc_code=~""Unknown|OK"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[2m]) or increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[2m]) or vector(0))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources""}[2m])))*100"
c74e69fa62d039053624cdd93fca0609,出现异常,"sum(rate(std_grpc_server_handled_total{job=""be/yid"",grpc_method=~""ListFieldValues|ListPermResource|CheckUserOperatePage|ListAuthZResources"", grpc_code=""Unknown""}[5m]))"
85488cb00387ef5431a0787442ad5fd1,正常,"1-(node_filesystem_free_bytes{hostname=~""bj3-rd-yos-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-yos-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/""})"
8f9b61dfde5105e5146e2b9ec992cad0,出现异常,"irate(node_disk_read_time_seconds_total{hostname=~""bj3-rd-yos-prod-03""}[2m])"
286b846a3bb1b99dc02bc35122ad5793,出现异常,"node_load1{hostname=~""bj3-rd-yos-prod-02""}"
2034e0850389c3cd736b03f724c07c4a,出现异常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-yos-prod-01""}[2m])"
b3770bfc8cb98ed1e2bd97517cb511b1,出现异常,"irate(node_disk_writes_completed_total{hostname=~""bj3-rd-yos-prod-03""}[2m])"
aa4a9a884d912744e3b66ffa4af133da,出现异常,"node_load1{hostname=~""bj1-rd-yos-prod-01""}"
676d60696ca737db0634b52c6d7625aa,正常,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid"
ad921d60486366258809553a3db49a4a,正常,unknown
f6872e2e996b0e97f1d6b098a690c429,正常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-yos-prod-02""}[2m])"
1b3f103857f705019bced5cf69bc8b97,出现异常,<:SimplePos<:updateFanweiEmployee failed:>
768f3284d8f86e70aa2bc6b907b0b9b5,正常,"node_sockstat_TCP_tw{hostname=~""bj3-rd-yos-prod-03""}"
7d14029bfe702b3710527442adf6e55a,出现异常,"yid_login_rate{exported_job=""yid_login"",instance=""172.16.17.3:9092"",job=""push-gateway""}"
fbffbee51c145da6e65ff769433d6be9,出现异常,"node_netstat_Tcp_CurrEstab{hostname=~""bj3-rd-yos-prod-02""}"
6d5a1e1ee6f47403689e4bdee8b5cbbd,正常,"1-(node_filesystem_free_bytes{hostname=~""bj3-rd-yos-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj3-rd-yos-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
54c093b01c7b0c2ebd6d6aa21ada9335,正常,"node_sockstat_TCP_tw{hostname=~""bj3-rd-yos-prod-02""}"
6dd142bb2bc432e45c4148504520a43e,正常,"irate(node_network_receive_bytes_total{hostname=~""bj1-rd-yos-prod-01"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
9108f9eb701da08ceff0578887a05e90,出现异常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-yos-prod-01""}[2m])"
d70cc408179b07370cfea893eb27c2e6,出现异常,"node_load5{hostname=~""bj3-rd-yos-prod-03""}"
5669240684962db428f2f9db643f37b6,出现异常,"node_sockstat_TCP_tw{hostname=~""bj1-rd-yos-prod-01""}"
b608bcd1c48bdafdbca71a1e554fda15,出现异常,"sum(rate(std_requests_total{job=""be/yid"", code=""200"",method=~""GET|POST"",url=~""/api/v2/user/publickey|/api/v2/user/login|/api/v2/user/verify/totp|/api/v2/user/password/change|/api/v2/email/password|/api/v2/password/auth|/api/v2/password/reset""}[5m]))"
b84c5d8f784d5ee6b77db2b16ffa0a33,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-yos-prod-01""}[2m])"
8499e67a0244c115d426a91953519c53,出现异常,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>
dd2fa201931efc8167208477934b8341,正常,no employee
49a31c561aad9ddcfc906e27c33d8de5,正常,not find dictionary type=<:NUM:>
2065b6d63850008f356f88f5ea9e25b0,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-yos-prod-01""}[2m])"
1d7534e31deaa3c6d7f05e4d7224c45a,正常,"irate(node_disk_reads_completed_total{hostname=~""bj1-rd-yos-prod-01""}[2m])"
a52809c13042e72dfad83cec67c9eb77,出现异常,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>"
ad28d721042558deceedcc158daa653a,正常,"node_sockstat_TCP_alloc{hostname=~""bj1-rd-yos-prod-01""}"
bf4221c2d695400e105fe1c2c77f4bab,出现异常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-yos-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-yos-prod-01""}))*100"
d5d765be3cd14f128442dfe5abc3df53,正常,"irate(node_network_receive_bytes_total{hostname=~""bj3-rd-yos-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
35ba7cab09d5fc65e748045b231a4ffc,出现异常,[UpdateEmployee] <:SimplePos<:updateFanweiEmployee failed:>
78423c035b5808cb2d83040d00ced068,正常,"sum(rate(std_requests_total{job=""be/yid"",code=~""4.."",environment=""prod""}[5m]))"
86bb6ec780065a02ee1d8b3149304ba1,出现异常,"node_sockstat_TCP_inuse{hostname=~""bj3-rd-yos-prod-03""}"
d9d518dc5f44ea763b0d7f1f3e3bb4cc,出现异常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj3-rd-yos-prod-03""}[2m])"
85a748724dab61284a4f8fbf5d1d517d,正常,"node_load15{hostname=~""bj1-rd-yos-prod-01""}"
d1dd76da1e948917536b82c70937a342,出现异常,"irate(node_disk_writes_completed_total{hostname=~""bj3-rd-yos-prod-02""}[2m])"
26f40f18df617d03d04c7c7ab1a22654,正常,"1-(node_filesystem_free_bytes{hostname=~""bj3-rd-yos-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj3-rd-yos-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""})"
8ae34a213e21ba77a38bd7cb4c9ab59c,出现异常,the employee does not exist
b8096b08f18ddf4d27d649b479840612,正常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj3-rd-yos-prod-03""}[2m])"
7648660c97f3e3ef1432860809991e39,出现异常,"irate(node_disk_reads_completed_total{hostname=~""bj3-rd-yos-prod-02""}[2m])"
0bb4a64c2f8bc65062a8fc8abec892e6,正常,"[updateFanweiEmployee] failed, <:updateEmployeeData:>"
03d7ae838a189af0b39068db24f7cce8,出现异常,"node_sockstat_TCP_alloc{hostname=~""bj3-rd-yos-prod-03""}"
b0c52740b2c50bfce18ca4b4abe54589,正常,[isEqualDirectSuperior] fanwei Employee not exist in yid
2d85228c0fb5cb3e83199dcf2a5666ca,出现异常,"irate(node_disk_read_time_seconds_total{hostname=~""bj1-rd-yos-prod-01""}[2m])"
7f5223653c540a241a5113c45ee7a4ed,正常,"sum(rate(std_requests_total{job=""be/yid"", code=""200"",method=""GET"",url=~""/api/v1/employee/:empID|/api/v1/employees|/api/v1/dept|/api/v1/depts|/api/v1/team/:teamID|/api/v1/teams|/api/v1/supervisors/:empIDs|/api/v1/dept-tree|/api/v1/emplist""}[5m]))"
